AI, é áj
Ophelia, Ofíliá
Orson, Orszun
Oscar, Ászkör
Pamela, Pémalá
Pascal, Paszkál
Patricia, Pátrísá
Patrick, Petríkk
Paul, Pól
Paula, Palá
Peggy, Peggi
Penelope, Penelopi
Percival, Pörszivál
Peter, Pítör
Philip, Filip
Phillip, Filip
Phoebe, Fób
Preston, Prestön
Priscilla, Prisszílá
Quentin, Kuentín
Quinn, Kuín
Rachel, Récsel
Ralph, Rálf
Raymond, Réimend
Rebecca, Rebeká
Regina, Redzsiná
Richard, Ricsárd
Robert, Robört
Roderick, Ráderík
Roger, Rogör
Ronald, Ronáld
Rosalie, Rózálí
Rose, Rousz
Russell, Rásszel
Ryan, Rájen
Sam, Szem
Samantha, Számántá
Samuel, Szemjúel
Sandra, Szándrá
Sara, Szárá
Sarah, Szárá
Scott, Szkott
Sean, Sán
Seraphina, Szeráfíná
Shannon, Senón
Sharon, Serón
Sheila, Sílá
Shirley, Sörlí
Sophia, Szofíá
Stanley, Sztenlí
Stephanie, Sztefání
Stephen, Sztívn
Steven, Sztívn
Stuart, Sztyúárt
Susan, Szúzan
Sylvester, Szilvesztör
Sylvia, Szilvíá
Teresa, Türíszá
Terrence, Terrensz
Terry, Terrí
Tessa, Tesszá
Theodore, Fidór
Thomas, Tómás
Timothy, Timotí
Tobias, Tobiássz
Tracy, Trészi
Tydeman, Tájdemen
Tyler, Tájler
Ulysses, Júlesszísz
Uma, Ummá
Valerie, Válörí
Vance, Vensz
Vanessa, Vanesszá
Veronica, Veróniká
Victoria, Viktóríá
Vincent, Vínszent
Virginia, Virdzsíniá
Vivian, Vivien
Walter, Vólteör
Wayne, Véin
Weston, Veszton
William, Williem
Willie, Willí
Willow, Vilóu
Winston, Vinsztön
Xander, Zéndör
Xena, Zíná
Yasmine, Jázmín
Yorick, Jórík
Zachary, Zákörí
Zane, Zénn
Zelda, Zeldá
Eileen, Ájlin
Caddy, Kedi
Findhom, Fájndhóm
Findhorn, Fájndhorn
Foundation, Fándésön
David, Dévid
Earl, Őrl
Platts, Pletsz
Cecey, Cecei
Adeptus, Adeptusz
Astartes, Asztartész
Astronomican, Asztronomican
Lexa, Leksza
Phelan, Fílen
Tommy, Tomi
Travers, Traversz
Milliken, Miliken
Cosgrove, Kászgróv
Chris, Krisz
Temple, Templ
Francis, Frenszisz
loggiáival, lodzsáival
Medici, Medicsi
Giovanni, Dzsovanni
Chigi, Csigi
Agostino, Agosztíno
Imperia, Impéria
Strigonio, Sztrigonió
Cardulo, Kardúló
Vico, Víkó
Bakócz, Bakóc
violon, violún
d'amour, demúr
Francesco, Francseszkó
Nero, Néró
Sciarra, Szkiarra
loggia, lodzsa
loggiáival, lodzsáival
Medici, Medicsi
Giovanni, Dzsovanni
Chigi, Csigi
Agostino, Agosztíno
Imperia, Impéria
Strigonio, Sztrigonió
Cardulo, Kardúló
Vico, Víkó
Bakócz, Bakóc
Venus, Vénusz
Cortisana, Kurtizána
Ovidius, Ovídiusz
Petrarca, Petrarka
Julius, Júliusz
Hannibal, Hannibál
Eugen, Ögen
Colonna, Kolonna
Orsini, Orszíni
campagna, kampannya
Mozart, Mócárt
Travis, Travísz
Parker, Parkőr
Gabby, Gábí
Nicholas, Niklesz
Sparks, Szparksz
Beaufort, Bófor
grizzly, gízli
Shackleford, Saklefőr
Banks, Bénksz
Carteret, Kardöret
hospital, hászpital
Matt, Met
Moby, Móbí
Joe, Dzsó
Laird, Lérd
Megan, Megön
Allison, Áliszn
Braves, Brévsz
Dodgers, Dádzsörsz
Liz, Líz
Vail, Véll
Tina, Tiná
Henry, Henrí
Wake, Vék
Forest, Fóreszt
Duke, Dúk
Colorado, Kolorádó
Monica, Móniká
Olivia, Olívia
Oliv, Ollev
Leslie, Lezlí
Gwen, Gven
Clue, Klú
Josie, Dzsózi
Stephanie, Sztefeni
Chapel, Csápl
Hill, Hil
Rolling, Róllin
Stones, Sztónz
Tattoo, Tátú
Yout, Yó
Nobby, Nábí
Virginia, Vördzsínia
wake, Vék
fair, fer
Morehead, Mórhed
City, Szidí
Kevin, Kevön
Adrian, Édrien
Melton, Meltön
New York, Nyújork
Los Angeles, lászendzselesz
Chicago, Sikágó
Houston, Hjúsztn
Phoenix, Főnix
Philadelphia, Filadelfia
San Antonio, szen antonió
San Diego, szen diégo
Dallas, dálesz
San Jose, szenhózé
Austin, osztin
Jacksonville, dzsekszonvil
Fort Worth, fortvörsz
Columbus, kolumbusz
Charlotte, sárlot
San Francisco, szenfrensziszkó
Indianapolis, indianapolisz
Seattle, szietl
Denver, denvör
Washington, vasington
Boston, bosztön
El Paso, elpászó
Nashville, nesvil
Detroit, ditroit
Oklahoma City, oklahomasziti
Portland, portlend
Las Vegas, lászvégász
Memphis, memfisz
Louisville, lúivill
Baltimore, baltimór
Milwaukee, milvóki
Albuquerque, elbökörki
Tucson, túszon
Fresno, freznó
Mesa, méza
Sacramento, szakramento
Atlanta, etlentá
Kansas City, kenzeszsziti
Colorado, kolorádó
Texas, tekszasz
Florida, florida
Georgia, dzsordzsa
Ohio, ohájó
Nevada, nevada
Arizona, arizóna
Tennessee, teneszi
California, kalifornia
New Jersey, nyúdzsörzi
Illinois, illinoj
Michigan, misigen
ADHD, ádéhádé
IAN WATSON,Íjen Vatszon
Games Workshop,Gémsz Vörksopp
Interzone,Interzón
sci-fi,száj-fáj
fantasy,fentezi
40K,negyven Ká
Gustave Moreau,Güsztáv Moró
Shakespeare,Sékszpír
Lear,Lír
Zhord,Zsord
Ey'Lindi,EjLindi
Callidus,Kallidusz
Collegia Assassinorum,Kollégia Assasszinórum
Director Secundus,Direktor Szekundusz
Catalepsin,Katalepszin
Mors Voluntaria,Morsz Voluntária
Officio Assassinorum,Offíció Assasszinórum
omega-danos,omega-danosz
polymorfin,polimorfin
Vindicare,Vindikáre
Eversor,Everzor
Psittika,Pszittika
lingomimek,lingomimek
Sabulorb,Szabulorb
Occidens,Okcidens
Shandabar,Sandabár
Bihisti,Bihiszti
Lord Sagramoso,Lord Szagramoszó
Karkason,Karkaszon
Genost,Genoszt
Boglár Zylov,Boglár Zilov
Adeptus Terra,Adeptusz Terra
Jurtim invisibiles,Jurtim invizibilész
Prefectus Secundus,Prefektusz Szekundusz
Dispendium,Diszpendium
Prefectus Tertius,Prefektusz Terciusz
Subprefectus,Szubprefektusz
Adeptus Ministorum,Adeptus Minisztórum
Lord Voronov-Vaux,Lord Voronov-Vó
Zephro Cornellan,Zefro Kornellán
Kropotnik,Kropotnyik
Tormentum Malorum,Tormentum Malórum
Adeptus Astra Telepathica,Adeptus Asztra Telepatika
Vindict V,Vindikt Öt
Imperator,Imperátor
Apage,Apagé
Chaos,Káosz
Khorne,Korn
Slaanesh,Szlanes
Nurgle,Nörgl
Tzeentch,Cíncs
Baal Firenze,Bál Firenze
Xerxes Quintus,Kszerkszész Kvintusz
Codex Fidelitatis,Kódex Fidelitátisz
Codex Impuritatis,Kódex Impuritátisz
Luna,Lúna
Segmentum Sol,Szegmentum Szól
Segmentum Tempestus,Szegmentum Tempesztusz
Ultima Segmentum,Ultima Szegmentum
Lacrima Dolorosa,Lakrima Doloróza
Antro,Antro
Lord Helmawr,Lord Helmaur
Blitz,Blic
Halcyon,Halcion
Zen Sharpik,Zen Sárpik
Huzzi Rork,Huzzi Rork
Palatínus,Palatínusz
Apothacarion,Apotekárion
Ossmodula,Osszmodula
Biscopea,Biszkópea
Haemostamen,Hemosztámen
Larraman-szerv,Larraman-szerv
Lyman-fül,Lajman-fül
Librarium,Librárium
Reclusiam,Reklúziám
Katakombák,Katakombák
Codex Astartes,Kódex Asztartész
Legiones Astartes,Legiónész Asztartész
Solitorium,Szolitórium
Vladimír Pugh,Vladimír Pjú
Rogal Dorn,Rogal Dorn
Lo Chang,Lo Csang
Karka Secundus,Karka Szekundusz
Fulgor Sagramoso,Fulgor Szagramoszó
Caput City,Kaput Sziti
Lord Lagnost,Lord Lagnoszt
pontifex mundi,pontifex mundi
Hake Bjortson,Hake Bjortszon
Zed Juron,Zed Zsuron
Assimularum,Asszimulárum
Primarche,Primarke
Teuton,Teuton
Rufus Olafson,Rufusz Olafszon
Russ Erikson,Rassz Erikszon
Xenophon,Kenofon
Brodski,Brodszki
Antarctica,Antarktika
Phosphor,Foszfor
Orbal,Orbál
Ion Dimitru,Ion Dimitru
Ro-fhessi,Ró-fesszi
Ulthwé,Ultvé
Eldrad Ulthran,Eldrád Ultran
Ketshamine,Ketsamín
Bieltan,Bieltán
Saimhann,Szájmhann
Alaitoc,Alájtok
Iyanden,Ijande
Rhana Dandra,Rána Dandra
B'hdeidir,Bihidir
Maugan Ra,Maugan Ra
Baharroth,Baharrot
Jain Zar,Dzséjn Zár
Karandras,Karandrász
Magnus,Magnusz
Zeus,Zeusz
San Guisuga,Szan Giszuga
Marb'ailtor,Marbájltor
Kürt Kempka,Kürt Kempka
Steinmüller,Stájnmüller
Kroff Tezla,Kroff Tezla
Hellström,Hellsztröm
Ruhr,Rúr
Dolf Harlan,Dolf Harlán
Quninspirus,Kvinszpirusz
Faust Stossen,Fauszt Stosszen
Volkman,Folkman
Dietrich,Dítrich
Wagner,Vágner
Goethe,Gőte
Stadler,Stádler
Scholl,Soll
Webern,Vébern
Grenzstein,Grencstájn
Geistler,Gájsztler
Jomi Jabal,Jomi Dzsábál
Henrik Farb,Henrik Farb
Nagy Ven,Nagy Fen
Aggrox,Aggroksz
Jadu,Zsádú
Kosmitopolos,Koszmitopólosz
Azul Petrov,Azul Petrov
Fennix,Fenniksz
Daxvash,Daksvas
Jared Khan,Dzsáred Kán
Karesh,Kares
Kareshváros,Karesvár
Vega Szabadvállalkozás,Véga Szabadvállalkozás
Lekkerbek,Lekkerbek
Groxgelt,Grokszelt
Urpol,Urpol
Galandra Puschik,Galandra Pusik
Gretchi,Greccsi
Torq Serpilian,Tork Szerpilián
Emberi Hűség,Emberi Hűség
Delta Khomeini,Delta Homejni
Hachard,Hahárd
Valhalla,Valhalla
ogryn,ogrin
Vellacott,Vellakot
Dukandar,Dukandár
Shuturban,Suturbán
Bhaü Badshah,Baü Badsah
Lamia,Lámia
Kastor,Kasztor
Drork,Drork
Corvo,Korvó
Johnny Fedelor,Dzsoni Fedelor
Bellygunge,Belligandzs
Genost,Genoszt
Lucifer Princip,Lucifer Princip
Boglár Zylov,Boglár Zilov
Askandar,Aszkandár
Lord Egremont,Lord Egremont
Askandargrad,Aszkandárgrád
Hasim,Haszim
Holló Őrség,Holló Őrség
Shandabar,Sandabár
Bara Bandobast,Bara Bandobaszt
Tod Zapasnik,Tod Zapasnyik
Mahabbat,Mahabbat
Khelma Street,Kelma Sztrít
Theatrum Miraculorum,Teátrum Mirakulórum
Lexandro d'Arquebus,Lekszandró dárkebusz
Lord Spinoza,Lord Szpinóza
Raphaelo Florienborque,Rafaelo Florienbork
Yakobi,Jakobi
Ducas,Dukász
Kempka,Kempka
Hake Bjortson,Hake Bjortszon
Pugh,Pjú
Fidelis,Fidélisz
Gót,Gót
Kobra,Kobra
Kurtz,Kurc
FBI,efbíáj
CIA,sziáéj
NASA,náza
UN,uenn
EU,eu
NATO,nátó
USA,júeszéj
UK,júkéj
UFO,ufó
NBA,enbíéj
NFL,enefel
BBC,bíbiszí
CNN,szíenen
IT,ájti
AI,éjáj
CEO,szííó
GPS,dzsípíesz
LED,led
RAM,ram
ROM,rom
WWW, vévévé
ZIP,zip
PIN,pin
ID,ájdí
LAN,lan
WiFi,vifi
ASAP,éjszep
DIY,doitjuorszelf
FAQ,fakú
BRB,bíárbí
BTW,bájthevéj
LOL,lol
OMG,óemdzsi
IDK,ájdíkéj
IQ,ikú
EQ,ekú
PR,píár
GIF,gif
JPEG,jpeg
CSGO,cségó
MAC,mek
PC,pécé
BIOS,biosz
DOS,dosz
GUI,gui
SATA,sata
RAID,réd
JSON,dzséjszon
XML,ikszemel
API,api
PhD,pí-ejcs-dí
CV,szíví
CFO,szíefó
COO,szíóó
CTO,szítíó
R&D,áren-dí
B2B,bí-tú-bí
B2C,bí-tú-szí
CRM,szíárem
ERP,íárpí
KPI,kéjpíáj
OKR,óukéjár
ROI,ároj
VoIP,vóip
CAD,ked
CAM,kem
CAE,szíéjí
SCM,esz-szí-em
BPM,bí-pí-em
IPO,ájpíó
ETF,í-tí-ef
GDP,dzsí-dí-pí
VAT,víéjtí
IRS,ájáresz
DEA,dííéj
NSA,eneszéj
DHS,díéjcsesz
DoD,díoudí
AFK,éjefkéj
NPC,enpíszí
RPG,árpídzsí
HUD,hád
DLC,díelszí
SDK,eszdíkéj
DBMS,díbíemesz
IoT,ájótí
ML,emel
DL,díel
NLP,enelpí
DDR,dídídár
PSU,píeszjú
CDN,szídíen
TOS,tíóesz
EULA,júlá
GDPR,dzsídípíár
HIPAA,hipá
DMCA,díemszéj
ACL,éjszíel
IPSec,ájpíszek
SQLi,esz-kjú-el-áj
XSS,ekszesz
CSRF,szíeszáref
MITM,emájtíem
ICU,ájszjú
CPR,szípíár
HIV,hív
AIDS,éjdz
DNA,díéjenéj
RNA,árenéj
BMI,bíemáj
CDC,szídíszí
EMT,íemtí
MRSA,emerszá
MRI,emáráj
CT,szítí
X-ray,ekszréj
ADHD,éjdíéjcsdí
